Epoch 276/1500, Loss: 1.883275e+04, Test Loss: 1.695699e+03
Epoch 277/1500, Loss: 1.882609e+04, Test Loss: 1.695448e+03
Epoch 278/1500, Loss: 1.882450e+04, Test Loss: 1.696863e+03
Epoch 279/1500, Loss: 1.884105e+04, Test Loss: 1.696415e+03
Epoch 280/1500, Loss: 1.884047e+04, Test Loss: 1.696078e+03
Epoch 281/1500, Loss: 1.884463e+04, Test Loss: 1.698565e+03
Epoch 282/1500, Loss: 1.886332e+04, Test Loss: 1.697663e+03
Epoch 283/1500, Loss: 1.884261e+04, Test Loss: 1.694440e+03
Epoch 284/1500, Loss: 1.883927e+04, Test Loss: 1.693880e+03
Epoch 285/1500, Loss: 1.884197e+04, Test Loss: 1.690599e+03
Epoch 286/1500, Loss: 1.882628e+04, Test Loss: 1.689656e+03
Epoch 287/1500, Loss: 1.882111e+04, Test Loss: 1.689418e+03
Epoch 288/1500, Loss: 1.882017e+04, Test Loss: 1.688809e+03
Epoch 289/1500, Loss: 1.881513e+04, Test Loss: 1.688787e+03
Epoch 290/1500, Loss: 1.881678e+04, Test Loss: 1.691135e+03
Epoch 291/1500, Loss: 1.882213e+04, Test Loss: 1.689458e+03
Epoch 292/1500, Loss: 1.882192e+04, Test Loss: 1.689188e+03
Epoch 293/1500, Loss: 1.882731e+04, Test Loss: 1.681963e+03
Epoch 294/1500, Loss: 1.881451e+04, Test Loss: 1.681797e+03
Epoch 295/1500, Loss: 1.881600e+04, Test Loss: 1.682385e+03
Epoch 296/1500, Loss: 1.881469e+04, Test Loss: 1.681668e+03
Epoch 297/1500, Loss: 1.879792e+04, Test Loss: 1.680772e+03
Epoch 298/1500, Loss: 1.879110e+04, Test Loss: 1.681479e+03
Epoch 299/1500, Loss: 1.878879e+04, Test Loss: 1.679696e+03
Epoch 300/1500, Loss: 1.878521e+04, Test Loss: 1.679559e+03
Epoch 301/1500, Loss: 1.878219e+04, Test Loss: 1.679312e+03
Epoch 302/1500, Loss: 1.879790e+04, Test Loss: 1.678898e+03
Epoch 303/1500, Loss: 1.879659e+04, Test Loss: 1.679221e+03
Epoch 304/1500, Loss: 1.879406e+04, Test Loss: 1.679306e+03
Epoch 305/1500, Loss: 1.878902e+04, Test Loss: 1.679025e+03
Epoch 306/1500, Loss: 1.878724e+04, Test Loss: 1.678881e+03
Epoch 307/1500, Loss: 1.878956e+04, Test Loss: 1.678200e+03
Epoch 308/1500, Loss: 1.878445e+04, Test Loss: 1.677615e+03
Epoch 309/1500, Loss: 1.877987e+04, Test Loss: 1.677491e+03
Epoch 310/1500, Loss: 1.878125e+04, Test Loss: 1.677778e+03
Epoch 311/1500, Loss: 1.877540e+04, Test Loss: 1.677590e+03
Epoch 312/1500, Loss: 1.877619e+04, Test Loss: 1.676604e+03
Epoch 313/1500, Loss: 1.877660e+04, Test Loss: 1.675855e+03
Epoch 314/1500, Loss: 1.877504e+04, Test Loss: 1.679248e+03
Epoch 315/1500, Loss: 1.877396e+04, Test Loss: 1.677011e+03
Epoch 316/1500, Loss: 1.877066e+04, Test Loss: 1.676918e+03
Epoch 317/1500, Loss: 1.876800e+04, Test Loss: 1.676763e+03
Epoch 318/1500, Loss: 1.876787e+04, Test Loss: 1.675942e+03
Epoch 319/1500, Loss: 1.876618e+04, Test Loss: 1.675998e+03
Epoch 320/1500, Loss: 1.876464e+04, Test Loss: 1.674504e+03
Epoch 321/1500, Loss: 1.876694e+04, Test Loss: 1.674529e+03
Epoch 322/1500, Loss: 1.876530e+04, Test Loss: 1.674539e+03
Epoch 323/1500, Loss: 1.876574e+04, Test Loss: 1.674522e+03
Epoch 324/1500, Loss: 1.876313e+04, Test Loss: 1.674730e+03
Epoch 325/1500, Loss: 1.876169e+04, Test Loss: 1.674294e+03
Epoch 326/1500, Loss: 1.876078e+04, Test Loss: 1.674313e+03
Epoch 327/1500, Loss: 1.875949e+04, Test Loss: 1.673475e+03
Epoch 328/1500, Loss: 1.876106e+04, Test Loss: 1.674053e+03
Epoch 329/1500, Loss: 1.876463e+04, Test Loss: 1.673366e+03
Epoch 330/1500, Loss: 1.875284e+04, Test Loss: 1.672986e+03
Epoch 331/1500, Loss: 1.874842e+04, Test Loss: 1.673058e+03
Epoch 332/1500, Loss: 1.874618e+04, Test Loss: 1.672823e+03
Epoch 333/1500, Loss: 1.874438e+04, Test Loss: 1.672683e+03
Epoch 334/1500, Loss: 1.874358e+04, Test Loss: 1.672579e+03
Epoch 335/1500, Loss: 1.874288e+04, Test Loss: 1.672477e+03
Epoch 336/1500, Loss: 1.874407e+04, Test Loss: 1.672525e+03
Epoch 337/1500, Loss: 1.874225e+04, Test Loss: 1.672484e+03
Epoch 338/1500, Loss: 1.874109e+04, Test Loss: 1.672499e+03
Epoch 339/1500, Loss: 1.874185e+04, Test Loss: 1.672348e+03
Epoch 340/1500, Loss: 1.874006e+04, Test Loss: 1.672558e+03
Epoch 341/1500, Loss: 1.873920e+04, Test Loss: 1.672839e+03
Epoch 342/1500, Loss: 1.873671e+04, Test Loss: 1.672276e+03
Epoch 343/1500, Loss: 1.873612e+04, Test Loss: 1.671342e+03
Epoch 344/1500, Loss: 1.873377e+04, Test Loss: 1.671406e+03
Epoch 345/1500, Loss: 1.873239e+04, Test Loss: 1.671527e+03
Epoch 346/1500, Loss: 1.873246e+04, Test Loss: 1.671299e+03
Epoch 347/1500, Loss: 1.873175e+04, Test Loss: 1.671347e+03
Epoch 348/1500, Loss: 1.873051e+04, Test Loss: 1.671008e+03
Epoch 349/1500, Loss: 1.872759e+04, Test Loss: 1.670907e+03
Epoch 350/1500, Loss: 1.872648e+04, Test Loss: 1.670857e+03
Epoch 351/1500, Loss: 1.872662e+04, Test Loss: 1.670673e+03
Epoch 352/1500, Loss: 1.872743e+04, Test Loss: 1.670860e+03
Epoch 353/1500, Loss: 1.872565e+04, Test Loss: 1.670757e+03
Epoch 354/1500, Loss: 1.872352e+04, Test Loss: 1.670891e+03
Epoch 355/1500, Loss: 1.872267e+04, Test Loss: 1.670545e+03
Epoch 356/1500, Loss: 1.872489e+04, Test Loss: 1.670575e+03
Epoch 357/1500, Loss: 1.872501e+04, Test Loss: 1.670453e+03
Epoch 358/1500, Loss: 1.872427e+04, Test Loss: 1.670387e+03
Epoch 359/1500, Loss: 1.872646e+04, Test Loss: 1.670219e+03
Epoch 360/1500, Loss: 1.872407e+04, Test Loss: 1.670302e+03
Epoch 361/1500, Loss: 1.872232e+04, Test Loss: 1.670255e+03
